Term 1	Term 2	Term 3	Frequency of Trigram	Frequency of Context	Conditional Probability of Trigram
que	es	muy	3	24	0.125
mi	me	gusta	3	11	0.2727272727272727
$	jsjs	#	3	3	1.0
que	no	lo	3	48	0.0625
$	Es	como	3	24	0.125
para	hoy	?	3	3	1.0
,	fuera	de	3	3	1.0
fuera	de	eso	3	5	0.6
de	tu	parte	3	12	0.25
tu	parte	#	3	3	1.0
prefieres	?	#	3	3	1.0
es	el	problema	3	12	0.25
lo	que	me	3	28	0.10714285714285714
Me	da	pena	3	6	0.5
que	cool	#	3	4	0.75
$	Yo	solo	3	32	0.09375
tienes	razón	#	3	4	0.75
it	going	?	3	3	1.0
going	?	#	3	3	1.0
la	verdad	#	3	10	0.3
$	A	ti	3	22	0.13636363636363635
de	vacaciones	?	3	8	0.375
vacaciones	?	#	3	4	0.75
$	hmm	no	3	7	0.42857142857142855
en	la	escuela	3	27	0.1111111111111111
$	xd	,	3	51	0.058823529411764705
bastante	cool	#	3	5	0.6
$	no	se	3	89	0.033707865168539325
$	ni	modo	3	4	0.75
$	yo	tengo	3	45	0.06666666666666667
lo	hago	#	3	3	1.0
A	ver	qué	3	7	0.42857142857142855
$	yo	me	3	45	0.06666666666666667
no	se	puede	3	24	0.125
sí	xd	#	3	3	1.0
me	da	pena	3	11	0.2727272727272727
,	por	eso	3	12	0.25
que	se	llama	3	16	0.1875
Así	es	#	3	4	0.75
alegro	:)	#	3	3	1.0
mis	abuelos	#	3	4	0.75
en	las	mañanas	3	7	0.42857142857142855
en	la	tarde	3	27	0.1111111111111111
problema	xd	#	3	3	1.0
$	no	puedo	3	89	0.033707865168539325
$	después	de	3	5	0.6
$	vaya	...	3	9	0.3333333333333333
tal	tu	día	3	8	0.375
creo	que	hoy	3	50	0.06
,	pero	se	3	33	0.09090909090909091
un	montón	de	3	4	0.75
soñar	que	te	3	3	1.0
$	Yo	me	3	32	0.09375
que	tal	la	3	32	0.09375
got	it	#	3	3	1.0
$	jsjsjs	#	3	3	1.0
$	muchas	gracias	3	3	1.0
$	ya	#	3	50	0.06
$	thx	#	3	3	1.0
$	solamente	#	3	4	0.75
$	por	eso	3	17	0.17647058823529413
$	como	se	3	27	0.1111111111111111
$	y	me	3	50	0.06
a	punto	de	3	5	0.6
$	ya	me	3	50	0.06
$	Tu	que	3	11	0.2727272727272727
me	va	a	3	6	0.5
no	se	si	3	24	0.125
buena	onda	#	3	4	0.75
$	me	dices	3	58	0.05172413793103448
$	me	da	3	58	0.05172413793103448
$	Buenas	noches	3	3	1.0
me	alegro	#	3	7	0.42857142857142855
que	va	a	3	3	1.0
el	tuyo	?	3	4	0.75
$	hmmmm	#	3	3	1.0
$	hmmm	#	3	7	0.42857142857142855
$	que	crees	3	86	0.03488372093023256
$	ya	tienes	3	50	0.06
urs	?	#	3	3	1.0
$	No	sé	3	40	0.075
Ya	veo	,	3	5	0.6
que	tal	el	3	32	0.09375
$	pero	es	3	57	0.05263157894736842
$	lo	que	3	13	0.23076923076923078
tal	la	escuela	3	7	0.42857142857142855
$	por	qué	3	17	0.17647058823529413
creo	que	me	3	50	0.06
cuenta	de	que	3	4	0.75
$	vamos	a	3	3	1.0
como	ves	?	3	4	0.75
ves	?	#	3	3	1.0
un	rato	#	3	6	0.5
$	No	,	3	40	0.075
$	Dicen	que	3	3	1.0
de	acuerdo	#	3	4	0.75
$	what	about	3	6	0.5
$	ya	hace	3	50	0.06
es	lo	que	3	6	0.5
todo	el	día	3	6	0.5
que	no	te	3	48	0.0625
u	do	?	3	3	1.0
do	?	#	3	3	1.0
si	?	#	3	3	1.0
que	sí	lo	3	24	0.125
hiciste	hoy	?	3	4	0.75
Bastante	bien	,	3	5	0.6
$	espero	que	3	6	0.5
$	Sí	#	3	6	0.5
$	Pero	la	3	34	0.08823529411764706
te	va	?	3	8	0.375
va	?	#	3	4	0.75
que	hiciste	hoy	3	3	1.0
tiene	que	ver	3	5	0.6
$	hmm	#	3	7	0.42857142857142855
$	me	cuentas	3	58	0.05172413793103448
a	pesar	de	3	3	1.0
Pon	hora	#	3	4	0.75
campamento	?	#	3	3	1.0
,	no	me	3	40	0.075
👍	🏻	👍	3	47	0.06382978723404255
🏻	👍	🏻	3	3	1.0
tal	tú	?	3	4	0.75
algo	así	?	3	7	0.42857142857142855
así	?	#	3	3	1.0
$	pues	creo	3	21	0.14285714285714285
pues	creo	que	3	3	1.0
$	what's	poppin	3	5	0.6
what's	poppin	?	3	3	1.0
poppin	?	#	3	3	1.0
a	comer	#	3	4	0.75
de	que	es	3	37	0.08108108108108109
la	escuela	?	3	20	0.15
lo	que	veo	3	28	0.10714285714285714
$	y	luego	3	50	0.06
$	jaja	#	3	5	0.6
del	cecyt	#	3	5	0.6
$	how	u	3	5	0.6
$	Vídeo	#	3	3	1.0
que	tal	te	3	32	0.09375
$	🤙	🏻	3	3	1.0
$	cómo	te	3	4	0.75
$	Hace	rato	3	5	0.6
a	cdmx	#	3	5	0.6
$	Te	gusta	3	15	0.2
cdmx	?	#	3	3	1.0
algo	bien	#	3	3	1.0
dicen	que	está	3	5	0.6
$	¿	Qué	2	2	1.0
$	Hey	#	2	2	1.0
Me	alegro	#	2	5	0.4
no	sabía	que	2	4	0.5
hace	una	semana	2	2	1.0
$	Así	que	2	10	0.2
de	cosas	de	2	4	0.5
cosas	de	la	2	4	0.5
la	escuela	jaja	2	20	0.1
algo	más	#	2	3	0.6666666666666666
$	Vale	#	2	2	1.0
realmente	no	me	2	6	0.3333333333333333
en	el	Oxxo	2	29	0.06896551724137931
$	Pero	ya	2	34	0.058823529411764705
,	de	hecho	2	8	0.25
me	daban	ganas	2	2	1.0
daban	ganas	de	2	2	1.0
una	xd	#	2	2	1.0
,	siento	que	2	2	1.0
siento	que	es	2	6	0.3333333333333333
como	una	vez	2	4	0.5
a	la	semana	2	24	0.08333333333333333
la	semana	en	2	4	0.5
que	no	es	2	48	0.041666666666666664
$	En	el	2	17	0.11764705882352941
trabajo	en	el	2	2	1.0
que	es	una	2	24	0.08333333333333333
de	las	3	2	11	0.18181818181818182
al	final	#	2	5	0.4
,	thx	#	2	3	0.6666666666666666
muy	pocas	veces	2	3	0.6666666666666666
me	gusta	mucho	2	13	0.15384615384615385
tenga	que	ver	2	2	1.0
año	y	medio	2	2	1.0
,	y	pensé	2	18	0.1111111111111111
a	ver	como	2	15	0.13333333333333333
después	jaja	#	2	2	1.0
la	verdad	no	2	10	0.2
como	que	ahora	2	9	0.2222222222222222
que	me	gusta	2	36	0.05555555555555555
me	gusta	más	2	13	0.15384615384615385
,	a	mi	2	9	0.2222222222222222
me	daría	cosa	2	3	0.6666666666666666
$	perdón	,	2	2	1.0
$	no	es	2	89	0.02247191011235955
