Term 1	Term 2	Term 3	Frequency of Trigram	Frequency of Context	Conditional Probability of Trigram
$	ya	#	1	1	1.0
No	creo	ir	1	2	0.5
creo	ir	hoy	1	1	1.0
ir	hoy	hermanazo	1	1	1.0
hoy	hermanazo	#	1	1	1.0
$	Una	disculpita	1	1	1.0
Una	disculpita	#	1	1	1.0
No	creo	hermanazo	1	2	0.5
creo	hermanazo	#	1	1	1.0
Voy	a	salir	1	3	0.3333333333333333
a	salir	#	1	1	1.0
$	Gracias	de	1	1	1.0
Gracias	de	todos	1	1	1.0
de	todos	modos	1	1	1.0
todos	modos	#	1	1	1.0
Nos	vemos	mañana	1	2	0.5
vemos	mañana	#	1	1	1.0
qué	hora	irán	1	8	0.125
hora	irán	ustedes	1	1	1.0
irán	ustedes	?	1	1	1.0
ustedes	?	#	1	1	1.0
$	Llego	#	1	2	0.5
$	como	en	1	1	1.0
como	en	unos	1	1	1.0
en	unos	20-30	1	3	0.3333333333333333
unos	20-30	#	1	1	1.0
$	Yo	llego	1	7	0.14285714285714285
Yo	llego	como	1	1	1.0
llego	como	a	1	1	1.0
las	2	#	1	4	0.25
$	Ya	están	1	31	0.03225806451612903
Ya	están	al	1	1	1.0
están	al	lab	1	1	1.0
al	lab	#	1	1	1.0
$	Allá	?	1	1	1.0
Allá	?	*	1	1	1.0
?	*	*	1	1	1.0
$	Cuánto	llevas	1	1	1.0
Cuánto	llevas	?	1	1	1.0
llevas	?	#	1	1	1.0
$	Puedes	wachar	1	1	1.0
Puedes	wachar	a	1	1	1.0
wachar	a	ver	1	1	1.0
a	ver	si	1	1	1.0
ver	si	hay	1	1	1.0
si	hay	mucha	1	1	1.0
hay	mucha	gente	1	1	1.0
mucha	gente	en	1	3	0.3333333333333333
gente	en	pierna	1	1	1.0
en	pierna	por	1	1	1.0
pierna	por	fis	1	1	1.0
por	fis	?	1	1	1.0
fis	?	#	1	1	1.0
$	Apoco	acabaste	1	1	1.0
Apoco	acabaste	toda	1	1	1.0
acabaste	toda	la	1	1	1.0
toda	la	pierna	1	2	0.5
la	pierna	en	1	1	1.0
pierna	en	una	1	1	1.0
en	una	hora	1	1	1.0
una	hora	?	1	1	1.0
hora	?	#	1	1	1.0
$	Si	siempre	1	2	0.5
Si	siempre	te	1	1	1.0
siempre	te	tardas	1	1	1.0
te	tardas	como	1	1	1.0
tardas	como	2	1	1	1.0
como	2	y	1	1	1.0
2	y	media	1	1	1.0
y	media	jajaja	1	1	1.0
media	jajaja	#	1	1	1.0
$	Tsssss	#	1	1	1.0
$	Me	hubieras	1	3	0.3333333333333333
Me	hubieras	dicho	1	1	1.0
hubieras	dicho	#	1	1	1.0
$	Y	el	1	5	0.2
Y	el	Antony	1	1	1.0
el	Antony	por	1	1	1.0
Antony	por	qué	1	1	1.0
por	qué	no	1	1	1.0
qué	no	ha	1	1	1.0
no	ha	venido	1	1	1.0
ha	venido	?	1	1	1.0
venido	?	#	1	1	1.0
qué	hora	va	1	8	0.125
hora	va	a	1	1	1.0
acudir	hoy	al	1	2	0.5
hoy	al	?	1	1	1.0
al	?	#	1	1	1.0
$	Vaaaaa	#	1	1	1.0
creo	que	sí	1	4	0.25
que	sí	hermano	1	2	0.5
sí	hermano	#	1	1	1.0
acudir	hoy	?	1	2	0.5
$	Pues	no	1	1	1.0
Pues	no	que	1	1	1.0
no	que	más	1	1	1.0
que	más	tarde	1	1	1.0
más	tarde	de	1	1	1.0
tarde	de	lo	1	1	1.0
de	lo	normal	1	1	1.0
lo	normal	#	1	1	1.0
$	Que	porque	1	3	0.3333333333333333
Que	porque	tenías	1	1	1.0
porque	tenías	clase	1	1	1.0
tenías	clase	?	1	1	1.0
clase	?	#	1	1	1.0
Yo	creo	voy	1	4	0.25
creo	voy	a	1	1	1.0
ir	hasta	como	1	2	0.5
hasta	como	las	1	1	1.0
como	las	2	1	1	1.0
las	2	jajaja	1	4	0.25
2	jajaja	#	1	1	1.0
mucha	gente	hermanazo	1	3	0.3333333333333333
gente	hermanazo	?	1	1	1.0
hermanazo	?	#	1	1	1.0
$	Qué	es	1	1	1.0
Qué	es	no	1	1	1.0
es	no	tanta	1	1	1.0
no	tanta	?	1	1	1.0
tanta	?	#	1	1	1.0
$	Fotito	pa	1	1	1.0
Fotito	pa	ver	1	1	1.0
pa	ver	👀	1	1	1.0
ver	👀	#	1	1	1.0
$	Que	sí	1	3	0.3333333333333333
Que	sí	hay	1	1	1.0
sí	hay	muchas	1	1	1.0
hay	muchas	mujeres	1	1	1.0
muchas	mujeres	o	1	1	1.0
mujeres	o	qué	1	1	1.0
o	qué	?	1	1	1.0
qué	?	#	1	1	1.0
$	Un	2	1	1	1.0
Un	2	te	1	1	1.0
2	te	parece	1	1	1.0
te	parece	adecuado	1	2	0.5
parece	adecuado	?	1	3	0.3333333333333333
adecuado	?	#	1	1	1.0
por	usted	si	1	8	0.125
usted	si	gusta	1	1	1.0
si	gusta	#	1	1	1.0
$	Por	usted	1	1	1.0
Por	usted	#	1	1	1.0
$	Como	1:15	1	4	0.25
Como	1:15	paso	1	1	1.0
1:15	paso	por	1	1	1.0
por	usted	va	1	8	0.125
usted	va	?	1	1	1.0
va	?	#	1	1	1.0
nada	más	lleno	1	2	0.5
más	lleno	mi	1	1	1.0
lleno	mi	botella	1	1	1.0
mi	botella	#	1	1	1.0
$	Y	voy	1	5	0.2
Y	voy	#	1	1	1.0
$	Pero	corre	1	3	0.3333333333333333
Pero	corre	#	1	1	1.0
$	Que	ando	1	3	0.3333333333333333
Que	ando	a	1	1	1.0
ando	a	media	1	1	1.0
a	media	calle	1	1	1.0
media	calle	jajaja	1	1	1.0
calle	jajaja	#	1	1	1.0
se	va	hoy	1	3	0.3333333333333333
va	hoy	?	1	1	1.0
usted	como	1:20	1	3	0.3333333333333333
como	1:20	le	1	1	1.0
1:20	le	parece	1	1	1.0
le	parece	correcto	1	1	1.0
para	allá	camarada	1	4	0.25
allá	camarada	#	1	1	1.0
$	Ya	llegué	1	31	0.03225806451612903
Ya	llegué	#	1	1	1.0
$	Ando	afuera	1	1	1.0
Ando	afuera	#	1	1	1.0
usted	como	1:30	1	3	0.3333333333333333
como	1:30	?	1	3	0.3333333333333333
1:30	?	#	1	1	1.0
$	Le	parece	1	2	0.5
Le	parece	correcto	1	1	1.0
nada	más	estoy	1	2	0.5
más	estoy	esperando	1	1	1.0
estoy	esperando	que	1	1	1.0
esperando	que	Fer	1	1	1.0
que	Fer	llegue	1	1	1.0
Fer	llegue	porque	1	1	1.0
llegue	porque	ella	1	1	1.0
porque	ella	trae	1	1	1.0
ella	trae	el	1	1	1.0
trae	el	carro	1	1	1.0
el	carro	#	1	1	1.0
$	Ya	no	1	31	0.03225806451612903
Ya	no	tardó	1	1	1.0
no	tardó	#	1	1	1.0
$	Tarda	*	1	1	1.0
Tarda	*	*	1	1	1.0
En	unos	10	1	2	0.5
unos	10	pasó	1	3	0.3333333333333333
10	pasó	#	1	1	1.0
$	No	llega	1	8	0.125
No	llega	#	1	1	1.0
$	Perdón	hermanazo	1	1	1.0
Perdón	hermanazo	#	1	1	1.0
$	Se	cancela	1	1	1.0
Se	cancela	#	1	1	1.0
$	Ya	llego	1	31	0.03225806451612903
Ya	llego	#	1	1	1.0
$	Vpu	para	1	1	1.0
Vpu	para	allá	1	1	1.0
$	Buenas	#	1	3	0.3333333333333333
$	Le	gustaria	1	2	0.5
Le	gustaria	que	1	1	1.0
gustaria	que	acudamos	1	1	1.0
que	acudamos	el	1	1	1.0
acudamos	el	dia	1	1	1.0
el	dia	de	1	1	1.0
dia	de	hoy	1	1	1.0
de	hoy	1:15	1	1	1.0
hoy	1:15	más	1	1	1.0
1:15	más	o	1	1	1.0
más	o	menillos	1	1	1.0
o	menillos	?	1	1	1.0
menillos	?	#	1	1	1.0
$	Hold	on	1	1	1.0
Hold	on	bro	1	1	1.0
on	bro	#	1	1	1.0
$	Llego	como	1	2	0.5
Llego	como	1:30	1	1	1.0
como	1:30	por	1	3	0.3333333333333333
1:30	por	usted	1	1	1.0
En	unos	20	1	2	0.5
unos	20	#	1	1	1.0
$	Ta	bueno	1	1	1.0
Ta	bueno	hermano	1	1	1.0
bueno	hermano	#	1	1	1.0
qué	hora	hoy	1	8	0.125
hora	hoy	,	1	1	1.0
hoy	,	mi	1	1	1.0
,	mi	hermano	1	1	1.0
mi	hermano	?	1	1	1.0
hermano	?	#	1	1	1.0
$	Buenos	días	1	2	0.5
Buenos	días	#	1	1	1.0
Como	a	la	1	2	0.5
a	la	1:15	1	1	1.0
la	1:15	#	1	2	0.5
$	Estar	allá	1	1	1.0
Estar	allá	#	1	1	1.0
$	Porque	hoy	1	1	1.0
Porque	hoy	va	1	1	1.0
hoy	va	a	1	1	1.0
va	a	tener	1	5	0.2
a	tener	que	1	1	1.0
tener	que	ser	1	1	1.0
que	ser	a	1	1	1.0
ser	a	pie	1	1	1.0
a	pie	el	1	1	1.0
pie	el	trayecto	1	1	1.0
el	trayecto	#	1	1	1.0
$	A	las	1	8	0.125
A	las	2	1	1	1.0
las	2	me	1	4	0.25
2	me	parece	1	1	1.0
me	parece	perfecto	1	1	1.0
parece	perfecto	#	1	1	1.0
qué	hora	llegas	1	8	0.125
hora	llegas	a	1	1	1.0
llegas	a	tu	1	1	1.0
a	tu	casa	1	1	1.0
tu	casa	del	1	2	0.5
casa	del	alemán	1	1	1.0
del	alemán	?	1	1	1.0
alemán	?	#	1	1	1.0
$	Ya	ando	1	31	0.03225806451612903
Ya	ando	aquí	1	1	1.0
ando	aquí	#	1	1	1.0
$	Yo	todavía	1	7	0.14285714285714285
Yo	todavía	no	1	1	1.0
todavía	no	sé	1	1	1.0
no	sé	a	1	1	1.0
sé	a	qué	1	1	1.0
qué	hora	voy	1	8	0.125
