Term 1	Term 2	Frequency of Bigram	Frequency of context	Conditional Probability of Bigram
de	mi	9	499	0.018036072144288578
tal	el	9	58	0.15517241379310345
😭	#	9	13	0.6923076923076923
,	de	8	525	0.015238095238095238
$	Cool	8	3186	0.0025109855618330196
más	#	8	72	0.1111111111111111
es	un	8	166	0.04819277108433735
xd	,	8	250	0.032
como	te	8	93	0.08602150537634409
$	chale	8	3186	0.0025109855618330196
$	heyy	8	3186	0.0025109855618330196
de	vacaciones	8	499	0.01603206412825651
$	aunque	8	3186	0.0025109855618330196
eso	#	8	54	0.14814814814814814
veo	,	8	26	0.3076923076923077
veo	#	8	26	0.3076923076923077
por	eso	8	109	0.07339449541284404
con	mi	8	81	0.09876543209876543
se	llama	8	139	0.05755395683453238
más	o	8	72	0.1111111111111111
onda	?	8	25	0.32
un	par	8	108	0.07407407407407407
tal	tu	8	58	0.13793103448275862
,	ya	8	525	0.015238095238095238
el	día	8	224	0.03571428571428571
$	Lo	8	3186	0.0025109855618330196
vacaciones	#	8	14	0.5714285714285714
te	va	8	158	0.05063291139240506
verdad	?	8	24	0.3333333333333333
$	eso	8	3186	0.0025109855618330196
tengo	que	8	45	0.17777777777777778
$	jajajaja	8	3186	0.0025109855618330196
jajajaja	#	8	8	1.0
$	Andrea	8	3186	0.0025109855618330196
🏻	🤙	8	105	0.0761904761904762
a	ti	7	359	0.019498607242339833
con	el	7	81	0.08641975308641975
los	que	7	93	0.07526881720430108
ganas	de	7	10	0.7
es	muy	7	166	0.04216867469879518
no	le	7	341	0.020527859237536656
en	las	7	240	0.029166666666666667
cool	,	7	41	0.17073170731707318
$	realmente	7	3186	0.002197112366603892
me	voy	7	304	0.023026315789473683
imagino	que	7	16	0.4375
no	he	7	341	0.020527859237536656
$	,	7	3186	0.002197112366603892
$	tienes	7	3186	0.002197112366603892
Creo	que	7	10	0.7
para	mi	7	83	0.08433734939759036
😔	#	7	13	0.5384615384615384
es	la	7	166	0.04216867469879518
heyy	#	7	8	0.875
$	hmm	7	3186	0.002197112366603892
en	ese	7	240	0.029166666666666667
no	hay	7	341	0.020527859237536656
nada	#	7	31	0.22580645161290322
A	ver	7	23	0.30434782608695654
es	de	7	166	0.04216867469879518
que	yo	7	696	0.010057471264367816
No	me	7	40	0.175
a	hacer	7	359	0.019498607242339833
Cómo	estás	7	19	0.3684210526315789
después	de	7	14	0.5
$	i	7	3186	0.002197112366603892
no	tengo	7	341	0.020527859237536656
y	la	7	191	0.03664921465968586
par	de	7	8	0.875
que	le	7	696	0.010057471264367816
0.o	#	7	7	1.0
a	#	7	359	0.019498607242339833
tú	que	7	41	0.17073170731707318
lol	#	7	7	1.0
$	un	7	3186	0.002197112366603892
algo	así	7	46	0.15217391304347827
que	la	7	696	0.010057471264367816
tal	la	7	58	0.1206896551724138
van	a	7	10	0.7
tal	?	7	58	0.1206896551724138
como	se	7	93	0.07526881720430108
lo	de	7	146	0.04794520547945205
he	visto	7	47	0.14893617021276595
de	a	7	499	0.014028056112224449
el	cabello	7	224	0.03125
me	alegro	7	304	0.023026315789473683
$	hmmm	7	3186	0.002197112366603892
$	ola	7	3186	0.002197112366603892
ola	#	7	10	0.7
bonito	#	7	10	0.7
qué	tal	7	37	0.1891891891891892
Cool	#	6	8	0.75
Yep	,	6	10	0.6
😳	#	6	6	1.0
cuando	no	6	47	0.1276595744680851
realmente	no	6	22	0.2727272727272727
que	el	6	696	0.008620689655172414
$	Bueno	6	3186	0.0018832391713747645
sé	si	6	31	0.1935483870967742
siento	que	6	11	0.5454545454545454
una	vez	6	84	0.07142857142857142
en	mi	6	240	0.025
es	lo	6	166	0.03614457831325301
un	rato	6	108	0.05555555555555555
he	estado	6	47	0.1276595744680851
me	va	6	304	0.019736842105263157
que	era	6	696	0.008620689655172414
y	ya	6	191	0.031413612565445025
de	eso	6	499	0.012024048096192385
$	sabes	6	3186	0.0018832391713747645
,	creo	6	525	0.011428571428571429
Me	da	6	31	0.1935483870967742
da	pena	6	26	0.23076923076923078
$	Vaya	6	3186	0.0018832391713747645
sé	por	6	31	0.1935483870967742
escuela	#	6	24	0.25
que	tienes	6	696	0.008620689655172414
creo	#	6	59	0.1016949152542373
$	tu	6	3186	0.0018832391713747645
sí	,	6	78	0.07692307692307693
pero	creo	6	126	0.047619047619047616
la	primera	6	284	0.02112676056338028
pero	se	6	126	0.047619047619047616
$	nope	6	3186	0.0018832391713747645
que	hacer	6	696	0.008620689655172414
i	guess	6	15	0.4
$	Sí	6	3186	0.0018832391713747645
$	Muy	6	3186	0.0018832391713747645
$	👍	6	3186	0.0018832391713747645
que	hay	6	696	0.008620689655172414
$	una	6	3186	0.0018832391713747645
es	?	6	166	0.03614457831325301
o	que	6	69	0.08695652173913043
foto	de	6	10	0.6
$	Tienes	6	3186	0.0018832391713747645
$	De	6	3186	0.0018832391713747645
así	es	6	40	0.15
te	da	6	158	0.0379746835443038
tho	#	6	9	0.6666666666666666
y	no	6	191	0.031413612565445025
ya	te	6	126	0.047619047619047616
y	que	6	191	0.031413612565445025
,	yo	6	525	0.011428571428571429
la	vida	6	284	0.02112676056338028
Yo	creo	6	32	0.1875
$	👉	6	3186	0.0018832391713747645
uno	de	6	22	0.2727272727272727
$	nose	6	3186	0.0018832391713747645
en	un	6	240	0.025
$	estoy	6	3186	0.0018832391713747645
todo	el	6	33	0.18181818181818182
con	los	6	81	0.07407407407407407
$	tengo	6	3186	0.0018832391713747645
$	espero	6	3186	0.0018832391713747645
si	me	6	72	0.08333333333333333
bastante	#	6	47	0.1276595744680851
acabo	de	6	7	0.8571428571428571
que	los	6	696	0.008620689655172414
yo	creo	6	86	0.06976744186046512
$	O	6	3186	0.0018832391713747645
o	algo	6	69	0.08695652173913043
$	what	6	3186	0.0018832391713747645
$	cool	6	3186	0.0018832391713747645
que	está	6	696	0.008620689655172414
$	ahora	6	3186	0.0018832391713747645
tal	te	6	58	0.10344827586206896
$	q	6	3186	0.0018832391713747645
$	Q	6	3186	0.0018832391713747645
Bastante	bien	5	14	0.35714285714285715
Me	alegro	5	31	0.16129032258064516
alegro	#	5	12	0.4166666666666667
lo	menos	5	146	0.03424657534246575
tu	?	5	77	0.06493506493506493
Yo	no	5	32	0.15625
una	semana	5	84	0.05952380952380952
$	Pues	5	3186	0.001569365976145637
$	Solo	5	3186	0.001569365976145637
,	cómo	5	525	0.009523809523809525
Bueno	,	5	6	0.8333333333333334
de	hecho	5	499	0.01002004008016032
$	Estoy	5	3186	0.001569365976145637
,	el	5	525	0.009523809523809525
es	una	5	166	0.030120481927710843
al	final	5	49	0.10204081632653061
thx	#	5	6	0.8333333333333334
mucho	,	5	47	0.10638297872340426
que	ver	5	696	0.007183908045977011
ver	que	5	38	0.13157894736842105
,	sí	5	525	0.009523809523809525
?	?	5	611	0.008183306055646482
fuera	de	5	12	0.4166666666666667
$	he	5	3186	0.001569365976145637
$	I	5	3186	0.001569365976145637
por	si	5	109	0.045871559633027525
vaya	,	5	11	0.45454545454545453
,	la	5	525	0.009523809523809525
bastante	cool	5	47	0.10638297872340426
,	en	5	525	0.009523809523809525
