Term 1	Term 2	Frequency of Bigram	Frequency of context	Conditional Probability of Bigram
el	push	4	127	0.031496062992125984
acabo	de	4	4	1.0
$	eso	4	1206	0.003316749585406302
$	dijo	4	1206	0.003316749585406302
💀	#	4	4	1.0
esto	#	4	6	0.6666666666666666
.	#	4	4	1.0
$	ps	4	1206	0.003316749585406302
las	10	4	33	0.12121212121212122
que	si	4	211	0.018957345971563982
hasta	el	4	7	0.5714285714285714
$	las	4	1206	0.003316749585406302
te	lo	4	74	0.05405405405405406
la	verga	4	108	0.037037037037037035
wey	#	4	6	0.6666666666666666
que	onda	4	211	0.018957345971563982
$	meteme	4	1206	0.003316749585406302
meteme	al	4	4	1.0
$	tu	4	1206	0.003316749585406302
hay	que	4	15	0.26666666666666666
$	está	4	1206	0.003316749585406302
ya	te	4	73	0.0547945205479452
la	API	4	108	0.037037037037037035
bueno	,	4	18	0.2222222222222222
a	lo	4	119	0.03361344537815126
aviso	#	4	4	1.0
que	yo	4	211	0.018957345971563982
el	generador	4	127	0.031496062992125984
$	soy	3	1206	0.0024875621890547263
el	domingo	3	127	0.023622047244094488
,	como	3	76	0.039473684210526314
$	igual	3	1206	0.0024875621890547263
hace	falta	3	6	0.5
$	ojalá	3	1206	0.0024875621890547263
🙏	🏻	3	3	1.0
$	cómo	3	1206	0.0024875621890547263
se	ocupa	3	43	0.06976744186046512
we	,	3	108	0.027777777777777776
que	tú	3	211	0.014218009478672985
estoy	viendo	3	10	0.3
😭	#	3	3	1.0
si	está	3	64	0.046875
$	ahh	3	1206	0.0024875621890547263
gracias	we	3	6	0.5
fepi	?	3	4	0.75
y	con	3	65	0.046153846153846156
$	nice	3	1206	0.0024875621890547263
a	hablar	3	119	0.025210084033613446
o	qp	3	26	0.11538461538461539
falso	#	3	3	1.0
todo	lo	3	15	0.2
que	la	3	211	0.014218009478672985
sí	me	3	16	0.1875
con	su	3	47	0.06382978723404255
no	la	3	161	0.018633540372670808
$	ahora	3	1206	0.0024875621890547263
we	xd	3	108	0.027777777777777776
mames	we	3	8	0.375
pendejo	#	3	9	0.3333333333333333
nmms	#	3	6	0.5
$	todavía	3	1206	0.0024875621890547263
todavía	no	3	4	0.75
pero	bueno	3	44	0.06818181818181818
$	🥶	3	1206	0.0024875621890547263
🥶	#	3	3	1.0
estás	en	3	10	0.3
que	en	3	211	0.014218009478672985
en	mi	3	76	0.039473684210526314
valió	verga	3	3	1.0
$	e	3	1206	0.0024875621890547263
e	#	3	3	1.0
$	mi	3	1206	0.0024875621890547263
a	estar	3	119	0.025210084033613446
a	hacer	3	119	0.025210084033613446
igual	y	3	4	0.75
te	digo	3	74	0.04054054054054054
digo	#	3	7	0.42857142857142855
$	hiciste	3	1206	0.0024875621890547263
el	proyecto	3	127	0.023622047244094488
$	parece	3	1206	0.0024875621890547263
parece	que	3	7	0.42857142857142855
con	una	3	47	0.06382978723404255
ya	quedó	3	73	0.0410958904109589
la	de	3	108	0.027777777777777776
$	eres	3	1206	0.0024875621890547263
a	que	3	119	0.025210084033613446
$	del	3	1206	0.0024875621890547263
a	#	3	119	0.025210084033613446
""""	#	3	6	0.5
a	ser	3	119	0.025210084033613446
por	la	3	22	0.13636363636363635
es	para	3	64	0.046875
$	una	3	1206	0.0024875621890547263
no	contesta	3	161	0.018633540372670808
$	creo	3	1206	0.0024875621890547263
mañana	#	3	14	0.21428571428571427
y	el	3	65	0.046153846153846156
que	falta	3	211	0.014218009478672985
en	eso	3	76	0.039473684210526314
pero	ya	3	44	0.06818181818181818
que	#	3	211	0.014218009478672985
te	esperamos	3	74	0.04054054054054054
ya	lo	3	73	0.0410958904109589
me	lo	3	61	0.04918032786885246
$	vas	3	1206	0.0024875621890547263
creo	#	3	15	0.2
$	así	3	1206	0.0024875621890547263
10	#	3	7	0.42857142857142855
de	decir	3	157	0.01910828025477707
idiota	#	3	3	1.0
la	api	3	108	0.027777777777777776
ahorita	que	3	15	0.2
mi	estimado	3	25	0.12
estimado	#	3	3	1.0
$	nah	3	1206	0.0024875621890547263
estaría	bien	3	5	0.6
protocolo	#	3	3	1.0
$	,	3	1206	0.0024875621890547263
lo	único	3	74	0.04054054054054054
verga	#	3	9	0.3333333333333333
$	amos	3	1206	0.0024875621890547263
más	?	3	16	0.1875
algo	#	3	11	0.2727272727272727
no	ps	3	161	0.018633540372670808
$	bien	3	1206	0.0024875621890547263
bien	ahí	3	25	0.12
ahí	#	3	11	0.2727272727272727
