Term 1	Term 2	Term 3	Frequency of Trigram	Frequency of Context	Conditional Probability of Trigram
puto	ñor	#	1	1	1.0
$	Cosas	de	1	1	1.0
Cosas	de	señores	1	1	1.0
de	señores	jajaja	1	1	1.0
señores	jajaja	#	1	1	1.0
$	Nmms	xd	1	4	0.25
Nmms	xd	#	1	1	1.0
$	Pq	?	1	2	0.5
Pq	?	#	1	1	1.0
$	Ya	hasta	1	26	0.038461538461538464
Ya	hasta	se	1	1	1.0
hasta	se	fue	1	1	1.0
se	fue	el	1	1	1.0
fue	el	don	1	2	0.5
el	don	#	1	1	1.0
$	Ustedes	andan	1	1	1.0
Ustedes	andan	haciendo	1	1	1.0
andan	haciendo	listas	1	1	1.0
haciendo	listas	de	1	1	1.0
listas	de	incidencia	1	1	1.0
de	incidencia	?	1	2	0.5
incidencia	?	#	1	1	1.0
$	A	mi	1	7	0.14285714285714285
A	mi	me	1	1	1.0
mi	me	la	1	1	1.0
me	la	pidieron	1	1	1.0
la	pidieron	ajajjsja	1	1	1.0
pidieron	ajajjsja	#	1	1	1.0
$	Sobre	que	1	1	1.0
Sobre	que	abrio	1	1	1.0
que	abrio	tarde	1	1	1.0
abrio	tarde	y	1	1	1.0
tarde	y	eso	1	1	1.0
y	eso	#	1	1	1.0
$	Estas	con	1	2	0.5
Estas	con	alguien	1	1	1.0
con	alguien	mas	1	1	1.0
alguien	mas	del	1	1	1.0
mas	del	pan	1	1	1.0
del	pan	?	1	2	0.5
pan	?	#	1	1	1.0
$	Es	pa	1	3	0.3333333333333333
Es	pa	l	1	1	1.0
pa	l	grupo	1	1	1.0
l	grupo	we	1	1	1.0
grupo	we	ajajjs	1	1	1.0
we	ajajjs	#	1	1	1.0
$	Ah	ps	1	2	0.5
Ah	ps	eso	1	1	1.0
ps	eso	de	1	1	1.0
eso	de	la	1	1	1.0
de	la	madre	1	3	0.3333333333333333
la	madre	de	1	1	1.0
madre	de	incidencia	1	1	1.0
de	incidencia	me	1	2	0.5
incidencia	me	lo	1	1	1.0
me	lo	dijo	1	1	1.0
lo	dijo	la	1	1	1.0
dijo	la	otra	1	1	1.0
la	otra	morra	1	1	1.0
otra	morra	del	1	1	1.0
morra	del	pan	1	1	1.0
del	pan	#	1	2	0.5
$	Checa	y	1	1	1.0
Checa	y	tenemos	1	1	1.0
y	tenemos	1	1	1	1.0
tenemos	1	hoja	1	1	1.0
1	hoja	para	1	1	1.0
hoja	para	hacer	1	1	1.0
para	hacer	esa	1	1	1.0
hacer	esa	madre	1	1	1.0
esa	madre	#	1	1	1.0
$	Asi	y	1	1	1.0
Asi	y	le	1	1	1.0
y	le	pongo	1	1	1.0
le	pongo	los	1	1	1.0
pongo	los	detalles	1	1	1.0
los	detalles	en	1	1	1.0
detalles	en	una	1	1	1.0
en	una	hoja	1	1	1.0
una	hoja	de	1	1	1.0
hoja	de	cuaderno	1	1	1.0
de	cuaderno	xd	1	1	1.0
cuaderno	xd	#	1	1	1.0
$	Tienes	hoja	1	2	0.5
Tienes	hoja	?	1	1	1.0
hoja	?	#	1	1	1.0
$	Si	no	1	10	0.1
Si	no	ps	1	1	1.0
no	ps	chance	1	1	1.0
ps	chance	solo	1	1	1.0
chance	solo	con	1	1	1.0
solo	con	la	1	1	1.0
con	la	mia	1	1	1.0
la	mia	#	1	1	1.0
$	A	pues	1	7	0.14285714285714285
A	pues	rifate	1	1	1.0
pues	rifate	lo	1	1	1.0
rifate	lo	que	1	1	1.0
lo	que	viste	1	1	1.0
que	viste	y	1	1	1.0
viste	y	consideras	1	1	1.0
y	consideras	que	1	1	1.0
consideras	que	estuvo	1	1	1.0
que	estuvo	mal	1	1	1.0
estuvo	mal	cd	1	1	1.0
mal	cd	#	1	1	1.0
$	Ponle	detalles	1	1	1.0
Ponle	detalles	we	1	1	1.0
detalles	we	#	1	1	1.0
$	Tienes	hojas	1	2	0.5
Tienes	hojas	sueltas	1	1	1.0
hojas	sueltas	?	1	1	1.0
sueltas	?	#	1	1	1.0
$	Ya	te	1	26	0.038461538461538464
Ya	te	comiste	1	1	1.0
te	comiste	el	1	1	1.0
comiste	el	cuernito	1	1	1.0
el	cuernito	?	1	1	1.0
cuernito	?	#	1	1	1.0
$	Quieres	o	1	1	1.0
Quieres	o	que	1	1	1.0
o	que	?	1	1	1.0
$	Hajaja	#	1	1	1.0
$	Es	por	1	3	0.3333333333333333
Es	por	casilla	1	1	1.0
por	casilla	xd	1	1	1.0
casilla	xd	#	1	1	1.0
$	Tenla	por	1	1	1.0
Tenla	por	si	1	1	1.0
por	si	acaso	1	1	1.0
si	acaso	xd	1	1	1.0
acaso	xd	#	1	1	1.0
$	Weee	le	1	1	1.0
Weee	le	preguntaste	1	1	1.0
le	preguntaste	al	1	1	1.0
preguntaste	al	presidente	1	1	1.0
al	presidente	de	1	1	1.0
presidente	de	tu	1	1	1.0
de	tu	casilla	1	1	1.0
tu	casilla	?	1	1	1.0
casilla	?	#	1	1	1.0
$	Voy	al	1	4	0.25
Voy	al	baño	1	1	1.0
al	baño	xd	1	1	1.0
baño	xd	#	1	1	1.0
$	Si	se	1	10	0.1
Si	se	va	1	1	1.0
se	va	a	1	1	1.0
va	a	armar	1	1	1.0
a	armar	o	1	1	1.0
armar	o	nel	1	1	1.0
o	nel	?	1	1	1.0
nel	?	#	1	1	1.0
$	Ya	llego	1	26	0.038461538461538464
Ya	llego	#	1	1	1.0
$	mi	jefa	1	1	1.0
mi	jefa	#	1	1	1.0
$	Y	onde	1	7	0.14285714285714285
Y	onde	tas	1	1	1.0
onde	tas	tu	1	1	1.0
tas	tu	?	1	1	1.0
tu	?	#	1	1	1.0
$	Puro	lazo	1	1	1.0
Puro	lazo	#	1	1	1.0
$	pa	#	1	1	1.0
$	Me	meto	1	7	0.14285714285714285
Me	meto	#	1	1	1.0
$	Si	llegué	1	10	0.1
Si	llegué	we	1	1	1.0
llegué	we	jajaja	1	1	1.0
we	jajaja	#	1	1	1.0
$	Ya	saliste	1	26	0.038461538461538464
Ya	saliste	!	1	1	1.0
saliste	!	#	1	1	1.0
$	*	?	1	1	1.0
*	?	#	1	1	1.0
$	3.-	#	1	1	1.0
$	🤡	#	1	1	1.0
$	Que	al	1	8	0.125
Que	al	rato	1	1	1.0
al	rato	te	1	2	0.5
rato	te	hecha	1	1	1.0
te	hecha	jjaa	1	1	1.0
hecha	jjaa	#	1	1	1.0
$	Ya	se	1	26	0.038461538461538464
Ya	se	enojo	1	1	1.0
se	enojo	#	1	1	1.0
$	Bueno	xd	1	2	0.5
Bueno	xd	#	1	1	1.0
$	El	examen	1	2	0.5
El	examen	#	1	1	1.0
$	Baba	#	1	1	1.0
$	Me	pide	1	7	0.14285714285714285
Me	pide	procedimientoxd	1	1	1.0
pide	procedimientoxd	#	1	1	1.0
$	Ba	xdd	1	1	1.0
Ba	xdd	#	1	1	1.0
$	Dile	a	1	1	1.0
Dile	a	mamá	1	1	1.0
mamá	que	todavía	1	2	0.5
que	todavía	ando	1	1	1.0
todavía	ando	aqui	1	1	1.0
ando	aqui	#	1	1	1.0
$	Anduve	en	1	1	1.0
Anduve	en	la	1	1	1.0
en	la	clase	1	8	0.125
la	clase	de	1	1	1.0
clase	de	12:00	1	1	1.0
de	12:00	#	1	1	1.0
$	Ya	mero	1	26	0.038461538461538464
Ya	mero	#	1	1	1.0
$	salgo	#	1	1	1.0
$	3:30	chance	1	1	1.0
3:30	chance	#	1	1	1.0
$	We	#	1	2	0.5
$	Otra	vez	1	1	1.0
Otra	vez	el	1	1	1.0
vez	el	metro	1	1	1.0
el	metro	se	1	1	1.0
metro	se	descompuso	1	1	1.0
se	descompuso	#	1	1	1.0
$	JAJAJA	#	1	1	1.0
$	Me	voy	1	7	0.14285714285714285
Me	voy	a	1	1	1.0
voy	a	tardar	1	2	0.5
a	tardar	#	1	1	1.0
$	Acá	en	1	1	1.0
Acá	en	politécnico	1	1	1.0
en	politécnico	#	1	1	1.0
Yo	creo	#	1	2	0.5
$	Ahorita	te	1	2	0.5
Ahorita	te	envié	1	1	1.0
te	envié	msg	1	1	1.0
envié	msg	#	1	1	1.0
$	Ya	jalo	1	26	0.038461538461538464
Ya	jalo	xd	1	1	1.0
jalo	xd	#	1	1	1.0
$	/*Un	radar	1	1	1.0
/*Un	radar	toma	1	1	1.0
radar	toma	la	1	1	1.0
toma	la	velocidad	1	1	1.0
la	velocidad	con	1	1	1.0
velocidad	con	que	1	1	1.0
con	que	circulan	1	1	1.0
que	circulan	autos	1	1	1.0
circulan	autos	por	1	1	1.0
autos	por	una	1	1	1.0
por	una	avenida	1	1	1.0
una	avenida	,	1	1	1.0
avenida	,	en	1	1	1.0
,	en	caso	1	1	1.0
en	caso	de	1	1	1.0
caso	de	que	1	1	1.0
de	que	excedan	1	2	0.5
que	excedan	el	1	1	1.0
excedan	el	limite	1	1	1.0
el	limite	de	1	1	1.0
limite	de	velocidad	1	1	1.0
de	velocidad	#	1	1	1.0
$	A	qué	1	7	0.14285714285714285
A	qué	horas	1	1	1.0
qué	horas	llegas	1	1	1.0
horas	llegas	?	1	1	1.0
$	Ya	anda	1	26	0.038461538461538464
Ya	anda	preguntando	1	1	1.0
anda	preguntando	links	1	2	0.5
preguntando	links	xd	1	1	1.0
links	xd	#	1	1	1.0
$	Puso	una	1	1	1.0
Puso	una	lista	1	1	1.0
una	lista	y	1	1	1.0
lista	y	anda	1	1	1.0
y	anda	preguntando	1	1	1.0
anda	preguntando	#	1	2	0.5
$	Ya	respondiste	1	26	0.038461538461538464
Ya	respondiste	?	1	1	1.0
respondiste	?	#	1	1	1.0
Ya	ando	aca	1	3	0.3333333333333333
ando	aca	we	1	1	1.0
aca	we	#	1	1	1.0
$	En	la	1	4	0.25
En	la	school	1	1	1.0
la	school	#	1	1	1.0
$	Cómo	a	1	1	1.0
Cómo	a	las	1	1	1.0
a	las	7	1	2	0.5
las	7	#	1	1	1.0
$	CAP	8	1	1	1.0
CAP	8	.	1	1	1.0
8	.	#	1	1	1.0
$	resuemn	god	1	1	1.0
resuemn	god	#	1	1	1.0
$	n={−1,0,1,2,3,5,15,20,100,409,500,593,1000,1471,1500,2801,3000,5000,10000,20000	}	1	1	1.0
n={−1,0,1,2,3,5,15,20,100,409,500,593,1000,1471,1500,2801,3000,5000,10000,20000	}	#	1	1	1.0
$	Confirmo	:	1	1	1.0
Confirmo	:	v	1	1	1.0
$	Ya	vente	1	26	0.038461538461538464
Ya	vente	papuneitor	1	1	1.0
vente	papuneitor	hay	1	1	1.0
papuneitor	hay	que	1	1	1.0
hay	que	hacer	1	1	1.0
que	hacer	guardia	1	1	1.0
hacer	guardia	#	1	2	0.5
$	Ora	de	1	1	1.0
Ora	de	petardear	1	1	1.0
de	petardear	el	1	1	1.0
petardear	el	cch	1	1	1.0
el	cch	😈	1	1	1.0
cch	😈	🔥	1	1	1.0
😈	🔥	#	1	1	1.0
$	Openings	de	1	1	1.0
Openings	de	los	1	1	1.0
de	los	goods	1	1	1.0
los	goods	😍	1	1	1.0
goods	😍	#	1	1	1.0
$	Se	cancela	1	2	0.5
Se	cancela	el	1	1	1.0
cancela	el	examen	1	1	1.0
el	examen	?	1	3	0.3333333333333333
examen	?	#	1	1	1.0
$	😈	#	1	1	1.0
$	Va	si	1	7	0.14285714285714285
Va	si	puedes	1	1	1.0
si	puedes	marcale	1	1	1.0
puedes	marcale	a	1	1	1.0
marcale	a	mama	1	1	1.0
a	mama	#	1	3	0.3333333333333333
$	Mamá	te	1	1	1.0
Mamá	te	quiere	1	1	1.0
te	quiere	hablar	1	1	1.0
quiere	hablar	#	1	1	1.0
$	ando	viendo	1	1	1.0
ando	viendo	el	1	1	1.0
viendo	el	primero	1	1	1.0
el	primero	#	1	1	1.0
$	nomas	que	1	1	1.0
nomas	que	no	1	1	1.0
que	no	hay	1	2	0.5
no	hay	tutoriales	1	1	1.0
hay	tutoriales	del	1	1	1.0
tutoriales	del	motorunu	1	1	1.0
del	motorunu	#	1	1	1.0
$	ya	te	1	2	0.5
ya	te	enseñaron	1	1	1.0
te	enseñaron	electro-neumatica	1	1	1.0
enseñaron	electro-neumatica	?	1	1	1.0
electro-neumatica	?	#	1	1	1.0
$	ok	#	1	1	1.0
$	no	halle	1	2	0.5
no	halle	nada	1	1	1.0
halle	nada	del	1	1	1.0
nada	del	motor	1	1	1.0
del	motor	asi	1	1	1.0
motor	asi	que	1	1	1.0
asi	que	lo	1	1	1.0
que	lo	hare	1	1	1.0
lo	hare	con	1	1	1.0
hare	con	un	1	1	1.0
con	un	cilindro	1	1	1.0
un	cilindro	xd	1	1	1.0
cilindro	xd	,	1	1	1.0
xd	,	ya	1	1	1.0
,	ya	lo	1	1	1.0
ya	lo	tengo	1	1	1.0
lo	tengo	retardado	1	1	1.0
tengo	retardado	,	1	1	1.0
retardado	,	nomas	1	1	1.0
,	nomas	me	1	1	1.0
nomas	me	falta	1	1	1.0
me	falta	el	1	2	0.5
falta	el	pedo	1	1	1.0
el	pedo	del	1	2	0.5
pedo	del	ciclo	1	1	1.0
del	ciclo	unico	1	1	1.0
ciclo	unico	#	1	1	1.0
$	va	#	1	1	1.0
$	ahorita	llevo	1	1	1.0
ahorita	llevo	#	1	1	1.0
$	eso	#	1	2	0.5
$	ya	chambea	1	2	0.5
ya	chambea	#	1	1	1.0
$	hasta	los	1	1	1.0
hasta	los	10	1	1	1.0
los	10	segundos	1	1	1.0
10	segundos	#	1	1	1.0
$	me	falta	1	1	1.0
me	falta	agregar	1	2	0.5
falta	agregar	que	1	1	1.0
agregar	que	vuelva	1	1	1.0
que	vuelva	a	1	1	1.0
vuelva	a	trabajar	1	1	1.0
a	trabajar	pero	1	1	1.0
trabajar	pero	mas	1	1	1.0
pero	mas	lento	1	1	1.0
mas	lento	#	1	1	1.0
$	primero	#	1	1	1.0
$	papuneitor	#	1	1	1.0
$	si	te	1	2	0.5
si	te	salio	1	1	1.0
te	salio	?	1	1	1.0
salio	?	,	1	1	1.0
?	,	a	1	1	1.0
,	a	mi	1	1	1.0
a	mi	todavia	1	2	0.5
mi	todavia	no	1	1	1.0
todavia	no	:	1	1	1.0
no	:	,	1	1	1.0
:	,	v	1	2	0.5
,	v	#	1	1	1.0
$	si	pasas	1	2	0.5
si	pasas	¿	1	1	1.0
pasas	¿	#	1	1	1.0
$	solo	toca	1	1	1.0
solo	toca	esperar	1	1	1.0
toca	esperar	a	1	1	1.0
esperar	a	ver	1	1	1.0
a	ver	que	1	2	0.5
ver	que	nos	1	1	1.0
que	nos	depara	1	1	1.0
nos	depara	el	1	1	1.0
depara	el	destino	1	1	1.0
el	destino	#	1	1	1.0
$	Esa	madre	1	2	0.5
Esa	madre	era	1	1	1.0
madre	era	con	1	1	1.0
era	con	electro	1	1	1.0
con	electro	,	1	1	1.0
electro	,	y	1	1	1.0
,	y	todavía	1	1	1.0
y	todavía	no	1	1	1.0
todavía	no	te	1	1	1.0
no	te	enseñan:'v	1	1	1.0
te	enseñan:'v	#	1	1	1.0
$	Ese	es	1	1	1.0
Ese	es	el	1	1	1.0
es	el	pedo	1	1	1.0
el	pedo	we	1	2	0.5
pedo	we	#	1	1	1.0
Y	si	jalo	1	2	0.5
si	jalo	?	1	1	1.0
jalo	?	#	1	1	1.0
$	:	v	1	4	0.25
$	Nmms	no	1	4	0.25
Nmms	no	llego	1	1	1.0
no	llego	#	1	1	1.0
$	Tú	?	1	1	1.0
Tú	?	#	1	1	1.0
Pero	no	estoy	1	2	0.5
no	estoy	vestido	1	1	1.0
estoy	vestido	#	1	1	1.0
$	xx	#	1	1	1.0
No	me	dejan	1	4	0.25
me	dejan	hacer	1	1	1.0
dejan	hacer	guardia	1	1	1.0
hacer	guardia	ya	1	2	0.5
guardia	ya	que	1	1	1.0
ya	que	no	1	1	1.0
que	no	soy	1	2	0.5
no	soy	de	1	1	1.0
soy	de	ahí	1	1	1.0
de	ahí	#	1	1	1.0
$	Nmms	ya	1	4	0.25
Nmms	ya	ni	1	1	1.0
ya	ni	me	1	1	1.0
ni	me	parezco	1	1	1.0
me	parezco	#	1	1	1.0
$	Antes	tenía	1	1	1.0
Antes	tenía	el	1	1	1.0
tenía	el	peinado	1	1	1.0
el	peinado	follador	1	1	1.0
peinado	follador	#	1	1	1.0
$	Ahora	no	1	1	1.0
Ahora	no	#	1	1	1.0
$	imprimelo	papuneitor	1	1	1.0
imprimelo	papuneitor	:	1	1	1.0
papuneitor	:	,	1	1	1.0
:	,	#	1	2	0.5
$	AyDA	#	1	1	1.0
$	Mis	fuentes	1	2	0.5
Mis	fuentes	dice	1	1	1.0
fuentes	dice	que	1	1	1.0
dice	que	cobran	1	1	1.0
que	cobran	100	1	1	1.0
cobran	100	por	1	1	1.0
100	por	entrar	1	1	1.0
por	entrar	#	1	1	1.0
$	Ya	están	1	26	0.038461538461538464
Ya	están	ahí	1	1	1.0
están	ahí	xd	1	1	1.0
ahí	xd	#	1	1	1.0
$	Sil	*	1	1	1.0
Sil	*	#	1	1	1.0
$	Solo	va	1	1	1.0
Solo	va	sil	1	1	1.0
va	sil	?	1	1	1.0
sil	?	#	1	1	1.0
$	Ps	mi	1	1	1.0
Ps	mi	torta	1	1	1.0
mi	torta	de	1	1	1.0
torta	de	la	1	1	1.0
de	la	mañana	1	3	0.3333333333333333
la	mañana	we	1	2	0.5
mañana	we	#	1	1	1.0
$	Vavav	#	1	1	1.0
$	Pues	deja	1	1	1.0
Pues	deja	busco	1	1	1.0
deja	busco	si	1	1	1.0
busco	si	hay	1	1	1.0
si	hay	#	1	1	1.0
$	Yes	yes	1	1	1.0
Yes	yes	#	1	1	1.0
$	Encontré	unos	1	1	1.0
Encontré	unos	tacos	1	1	1.0
unos	tacos	cd	1	1	1.0
tacos	cd	#	1	1	1.0
$	Me	avisan	1	7	0.14285714285714285
Me	avisan	cuando	1	1	1.0
avisan	cuando	vayan	1	1	1.0
cuando	vayan	llegando	1	1	1.0
vayan	llegando	#	1	1	1.0
$	Vava	#	1	1	1.0
$	Ya	andamos	1	26	0.038461538461538464
Ya	andamos	llegando	1	1	1.0
andamos	llegando	aca	1	1	1.0
llegando	aca	#	1	1	1.0
$	Ando	aquí	1	4	0.25
Ando	aquí	en	1	1	1.0
aquí	en	los	1	1	1.0
en	los	torniquetes	1	1	1.0
los	torniquetes	xd	1	1	1.0
torniquetes	xd	#	1	1	1.0
No	hay	pex	1	3	0.3333333333333333
hay	pex	#	1	1	1.0
$	Ando	del	1	4	0.25
Ando	del	lado	1	1	1.0
del	lado	dirección	1	1	1.0
lado	dirección	cuatro	1	1	1.0
dirección	cuatro	#	1	1	1.0
$	caminos	#	1	1	1.0
No	me	dijo	1	4	0.25
me	dijo	xdxd	1	1	1.0
dijo	xdxd	#	1	1	1.0
