Term 1	Term 2	Frequency of Bigram	Frequency of context	Conditional Probability of Bigram
dijiste	que	1	1	1.0
que	tú	1	12	0.08333333333333333
tú	calle	1	1	1.0
calle	estaba	1	2	0.5
estaba	cerrada	1	2	0.5
cerrada	#	1	1	1.0
$	Estoy	1	161	0.006211180124223602
Estoy	afuera	1	1	1.0
$	Tantito	1	161	0.006211180124223602
Tantito	antes	1	1	1.0
antes	de	1	2	0.5
de	tu	1	7	0.14285714285714285
casa	#	1	2	0.5
$	Corre	1	161	0.006211180124223602
Corre	#	1	1	1.0
Pero	#	1	3	0.3333333333333333
$	ya	1	161	0.006211180124223602
creo	ir	1	7	0.14285714285714285
ir	hoy	1	9	0.1111111111111111
hoy	hermanazo	1	8	0.125
$	Una	1	161	0.006211180124223602
Una	disculpita	1	1	1.0
disculpita	#	1	1	1.0
creo	hermanazo	1	7	0.14285714285714285
a	salir	1	25	0.04
salir	#	1	1	1.0
$	Gracias	1	161	0.006211180124223602
Gracias	de	1	1	1.0
de	todos	1	7	0.14285714285714285
todos	modos	1	1	1.0
modos	#	1	1	1.0
vemos	mañana	1	2	0.5
mañana	#	1	1	1.0
hora	irán	1	9	0.1111111111111111
irán	ustedes	1	1	1.0
ustedes	?	1	1	1.0
Llego	#	1	2	0.5
$	como	1	161	0.006211180124223602
como	en	1	10	0.1
unos	20-30	1	5	0.2
20-30	#	1	1	1.0
Yo	llego	1	7	0.14285714285714285
llego	como	1	2	0.5
2	#	1	6	0.16666666666666666
Ya	están	1	31	0.03225806451612903
están	al	1	2	0.5
al	lab	1	4	0.25
lab	#	1	1	1.0
$	Allá	1	161	0.006211180124223602
Allá	?	1	1	1.0
?	*	1	30	0.03333333333333333
$	Cuánto	1	161	0.006211180124223602
Cuánto	llevas	1	1	1.0
llevas	?	1	1	1.0
$	Puedes	1	161	0.006211180124223602
Puedes	wachar	1	1	1.0
wachar	a	1	1	1.0
a	ver	1	25	0.04
ver	si	1	2	0.5
si	hay	1	3	0.3333333333333333
hay	mucha	1	3	0.3333333333333333
gente	en	1	3	0.3333333333333333
en	pierna	1	6	0.16666666666666666
pierna	por	1	2	0.5
por	fis	1	14	0.07142857142857142
fis	?	1	1	1.0
$	Apoco	1	161	0.006211180124223602
Apoco	acabaste	1	1	1.0
acabaste	toda	1	1	1.0
la	pierna	1	6	0.16666666666666666
pierna	en	1	2	0.5
en	una	1	6	0.16666666666666666
una	hora	1	1	1.0
hora	?	1	9	0.1111111111111111
Si	siempre	1	2	0.5
siempre	te	1	1	1.0
te	tardas	1	3	0.3333333333333333
tardas	como	1	1	1.0
como	2	1	10	0.1
2	y	1	6	0.16666666666666666
y	media	1	4	0.25
media	jajaja	1	2	0.5
$	Tsssss	1	161	0.006211180124223602
Tsssss	#	1	1	1.0
Me	hubieras	1	3	0.3333333333333333
hubieras	dicho	1	1	1.0
dicho	#	1	1	1.0
Y	el	1	5	0.2
el	Antony	1	4	0.25
Antony	por	1	2	0.5
por	qué	1	14	0.07142857142857142
qué	no	1	10	0.1
no	ha	1	7	0.14285714285714285
ha	venido	1	1	1.0
venido	?	1	1	1.0
hora	va	1	9	0.1111111111111111
hoy	al	1	8	0.125
al	?	1	4	0.25
$	Vaaaaa	1	161	0.006211180124223602
Vaaaaa	#	1	1	1.0
sí	hermano	1	3	0.3333333333333333
$	Pues	1	161	0.006211180124223602
Pues	no	1	1	1.0
no	que	1	7	0.14285714285714285
que	más	1	12	0.08333333333333333
más	tarde	1	4	0.25
tarde	de	1	1	1.0
de	lo	1	7	0.14285714285714285
lo	normal	1	2	0.5
normal	#	1	1	1.0
Que	porque	1	3	0.3333333333333333
porque	tenías	1	2	0.5
tenías	clase	1	1	1.0
clase	?	1	1	1.0
creo	voy	1	7	0.14285714285714285
hasta	como	1	2	0.5
como	las	1	10	0.1
2	jajaja	1	6	0.16666666666666666
gente	hermanazo	1	3	0.3333333333333333
hermanazo	?	1	5	0.2
$	Qué	1	161	0.006211180124223602
Qué	es	1	1	1.0
es	no	1	2	0.5
no	tanta	1	7	0.14285714285714285
tanta	?	1	1	1.0
$	Fotito	1	161	0.006211180124223602
Fotito	pa	1	1	1.0
pa	ver	1	1	1.0
ver	👀	1	2	0.5
👀	#	1	1	1.0
Que	sí	1	3	0.3333333333333333
sí	hay	1	3	0.3333333333333333
hay	muchas	1	3	0.3333333333333333
muchas	mujeres	1	1	1.0
mujeres	o	1	1	1.0
o	qué	1	3	0.3333333333333333
qué	?	1	10	0.1
$	Un	1	161	0.006211180124223602
Un	2	1	1	1.0
2	te	1	6	0.16666666666666666
adecuado	?	1	3	0.3333333333333333
usted	si	1	9	0.1111111111111111
si	gusta	1	3	0.3333333333333333
gusta	#	1	2	0.5
$	Por	1	161	0.006211180124223602
Por	usted	1	1	1.0
Como	1:15	1	4	0.25
1:15	paso	1	4	0.25
usted	va	1	9	0.1111111111111111
